RAWX,RAWY,CCDNR,REV1,REV2
18,154,11,0,10000
18,155,11,0,10000
18,156,11,0,10000
18,157,11,0,10000
18,158,11,0,10000
18,159,11,0,10000
18,160,11,0,10000
18,161,11,0,10000
18,162,11,0,10000
18,163,11,0,10000
18,164,11,0,10000
18,165,11,0,10000
18,166,11,0,10000
18,167,11,0,10000
18,168,11,0,10000
18,169,11,0,10000
18,170,11,0,10000
18,171,11,0,10000
18,172,11,0,10000
18,173,11,0,10000
18,174,11,0,10000
18,175,11,0,10000
18,176,11,0,10000
18,177,11,0,10000
18,178,11,0,10000
18,179,11,0,10000
18,180,11,0,10000
18,181,11,0,10000
18,182,11,0,10000
18,183,11,0,10000
18,184,11,0,10000
18,185,11,0,10000
18,186,11,0,10000
18,187,11,0,10000
18,188,11,0,10000
18,189,11,0,10000
18,190,11,0,10000
18,191,11,0,10000
18,192,11,0,10000
18,193,11,0,10000
18,194,11,0,10000
18,195,11,0,10000
18,196,11,0,10000
18,197,11,0,10000
18,198,11,0,10000
18,199,11,0,10000
18,200,11,0,10000
18,201,11,0,10000
19,138,11,0,10000
19,139,11,0,10000
19,140,11,0,10000
19,141,11,0,10000
19,142,11,0,10000
19,143,11,0,10000
19,144,11,0,10000
19,145,11,0,10000
19,146,11,0,10000
19,147,11,0,10000
19,148,11,0,10000
19,149,11,0,10000
19,150,11,0,10000
19,151,11,0,10000
19,152,11,0,10000
19,153,11,0,10000
19,154,11,0,10000
19,155,11,0,10000
19,156,11,0,10000
19,157,11,0,10000
19,158,11,0,10000
19,159,11,0,10000
19,160,11,0,10000
19,161,11,0,10000
19,162,11,0,10000
19,163,11,0,10000
19,164,11,0,10000
19,165,11,0,10000
19,166,11,0,10000
19,167,11,0,10000
19,168,11,0,10000
19,169,11,0,10000
19,170,11,0,10000
19,171,11,0,10000
19,172,11,0,10000
19,173,11,0,10000
19,174,11,0,10000
19,175,11,0,10000
19,176,11,0,10000
19,177,11,0,10000
19,178,11,0,10000
19,179,11,0,10000
19,180,11,0,10000
19,181,11,0,10000
19,182,11,0,10000
19,183,11,0,10000
19,184,11,0,10000
19,185,11,0,10000
19,186,11,0,10000
19,187,11,0,10000
19,188,11,0,10000
19,189,11,0,10000
19,190,11,0,10000
19,191,11,0,10000
19,192,11,0,10000
19,193,11,0,10000
19,194,11,0,10000
19,195,11,0,10000
19,196,11,0,10000
19,197,11,0,10000
19,198,11,0,10000
19,199,11,0,10000
19,200,11,0,10000
19,201,11,0,10000
33,146,11,730,10000
33,147,11,730,10000
33,148,11,730,10000
33,149,11,730,10000
33,150,11,730,10000
33,151,11,730,10000
33,152,11,730,10000
33,153,11,730,10000
33,154,11,730,10000
33,155,11,730,10000
33,156,11,730,10000
33,157,11,730,10000
33,158,11,730,10000
33,159,11,730,10000
33,160,11,730,10000
33,161,11,730,10000
33,162,11,730,10000
33,163,11,730,10000
33,164,11,730,10000
33,165,11,730,10000
33,166,11,730,10000
33,167,11,730,10000
33,168,11,730,10000
33,169,11,730,10000
33,170,11,730,10000
33,171,11,730,10000
33,172,11,730,10000
33,173,11,730,10000
33,174,11,730,10000
33,175,11,730,10000
33,176,11,730,10000
33,177,11,730,10000
33,178,11,730,10000
33,179,11,730,10000
33,180,11,730,10000
33,181,11,730,10000
33,182,11,730,10000
33,183,11,730,10000
33,184,11,730,10000
33,185,11,730,10000
33,186,11,730,10000
33,187,11,730,10000
33,188,11,730,10000
33,189,11,730,10000
33,190,11,730,10000
33,191,11,730,10000
33,192,11,730,10000
33,193,11,730,10000
33,194,11,730,10000
33,195,11,730,10000
33,196,11,730,10000
33,197,11,730,10000
33,198,11,730,10000
33,199,11,730,10000
33,200,11,730,10000
33,201,11,730,10000
9,154,11,858,10000
9,155,11,858,10000
9,156,11,858,10000
9,157,11,858,10000
9,158,11,858,10000
9,159,11,858,10000
9,160,11,858,10000
9,161,11,858,10000
9,162,11,858,10000
9,163,11,858,10000
9,164,11,858,10000
9,165,11,858,10000
9,166,11,858,10000
9,167,11,858,10000
9,168,11,858,10000
9,169,11,858,10000
9,170,11,858,10000
9,171,11,858,10000
9,172,11,858,10000
9,173,11,858,10000
9,174,11,858,10000
9,175,11,858,10000
9,176,11,858,10000
9,177,11,858,10000
9,178,11,858,10000
9,179,11,858,10000
9,180,11,858,10000
9,181,11,858,10000
9,182,11,858,10000
9,183,11,858,10000
9,184,11,858,10000
9,185,11,858,10000
9,186,11,858,10000
9,187,11,858,10000
9,188,11,858,10000
9,189,11,858,10000
9,190,11,858,10000
9,191,11,858,10000
9,192,11,858,10000
9,193,11,858,10000
9,194,11,858,10000
9,195,11,858,10000
9,196,11,858,10000
9,197,11,858,10000
9,198,11,858,10000
9,199,11,858,10000
9,200,11,858,10000
9,201,11,858,10000
10,154,11,858,10000
10,155,11,858,10000
10,156,11,858,10000
10,157,11,858,10000
10,158,11,858,10000
10,159,11,858,10000
10,160,11,858,10000
10,161,11,858,10000
10,162,11,858,10000
10,163,11,858,10000
10,164,11,858,10000
10,165,11,858,10000
10,166,11,858,10000
10,167,11,858,10000
10,168,11,858,10000
10,169,11,858,10000
10,170,11,858,10000
10,171,11,858,10000
10,172,11,858,10000
10,173,11,858,10000
10,174,11,858,10000
10,175,11,858,10000
10,176,11,858,10000
10,177,11,858,10000
10,178,11,858,10000
10,179,11,858,10000
10,180,11,858,10000
10,181,11,858,10000
10,182,11,858,10000
10,183,11,858,10000
10,184,11,858,10000
10,185,11,858,10000
10,186,11,858,10000
10,187,11,858,10000
10,188,11,858,10000
10,189,11,858,10000
10,190,11,858,10000
10,191,11,858,10000
10,192,11,858,10000
10,193,11,858,10000
10,194,11,858,10000
10,195,11,858,10000
10,196,11,858,10000
10,197,11,858,10000
10,198,11,858,10000
10,199,11,858,10000
10,200,11,858,10000
10,201,11,858,10000
43,154,11,0,10000
43,155,11,0,10000
43,156,11,0,10000
43,157,11,0,10000
43,158,11,0,10000
43,159,11,0,10000
43,160,11,0,10000
43,161,11,0,10000
43,162,11,0,10000
43,163,11,0,10000
43,164,11,0,10000
43,165,11,0,10000
43,166,11,0,10000
43,167,11,0,10000
43,168,11,0,10000
43,169,11,0,10000
43,170,11,0,10000
43,171,11,0,10000
43,172,11,0,10000
43,173,11,0,10000
43,174,11,0,10000
43,175,11,0,10000
43,176,11,0,10000
43,177,11,0,10000
43,178,11,0,10000
43,179,11,0,10000
43,180,11,0,10000
43,181,11,0,10000
43,182,11,0,10000
43,183,11,0,10000
43,184,11,0,10000
43,185,11,0,10000
43,186,11,0,10000
43,187,11,0,10000
43,188,11,0,10000
43,189,11,0,10000
43,190,11,0,10000
43,191,11,0,10000
43,192,11,0,10000
43,193,11,0,10000
43,194,11,0,10000
43,195,11,0,10000
43,196,11,0,10000
43,197,11,0,10000
43,198,11,0,10000
43,199,11,0,10000
43,200,11,0,10000
43,201,11,0,10000
12,158,11,0,10000
12,159,11,0,10000
12,160,11,0,10000
12,161,11,0,10000
12,162,11,0,10000
12,163,11,0,10000
12,164,11,0,10000
12,165,11,0,10000
12,166,11,0,10000
12,167,11,0,10000
12,168,11,0,10000
12,169,11,0,10000
12,170,11,0,10000
12,171,11,0,10000
12,172,11,0,10000
12,173,11,0,10000
12,174,11,0,10000
