RAWX,RAWY,CCDNR,REV1,REV2
582,419,1,1130,4110
582,420,1,1130,4110
582,421,1,1130,4110
582,422,1,1130,4110
582,423,1,1130,4110
582,424,1,1130,4110
582,425,1,1130,4110
582,426,1,1130,4110
582,427,1,1130,4110
582,428,1,1130,4110
582,429,1,1130,4110
582,430,1,1130,4110
582,431,1,1130,4110
582,432,1,1130,4110
582,433,1,1130,4110
582,434,1,1130,4110
582,435,1,1130,4110
582,436,1,1130,4110
582,437,1,1130,4110
582,438,1,1130,4110
582,439,1,1130,4110
582,440,1,1130,4110
582,441,1,1130,4110
582,442,1,1130,4110
582,443,1,1130,4110
582,444,1,1130,4110
582,445,1,1130,4110
582,446,1,1130,4110
582,447,1,1130,4110
582,448,1,1130,4110
582,449,1,1130,4110
582,450,1,1130,4110
582,451,1,1130,4110
582,452,1,1130,4110
582,453,1,1130,4110
582,454,1,1130,4110
582,455,1,1130,4110
582,456,1,1130,4110
582,457,1,1130,4110
582,458,1,1130,4110
582,459,1,1130,4110
582,460,1,1130,4110
582,461,1,1130,4110
582,462,1,1130,4110
582,463,1,1130,4110
582,464,1,1130,4110
582,465,1,1130,4110
582,466,1,1130,4110
582,467,1,1130,4110
582,468,1,1130,4110
582,469,1,1130,4110
582,470,1,1130,4110
582,471,1,1130,4110
582,472,1,1130,4110
582,473,1,1130,4110
582,474,1,1130,4110
582,475,1,1130,4110
582,476,1,1130,4110
582,477,1,1130,4110
582,478,1,1130,4110
582,479,1,1130,4110
582,480,1,1130,4110
582,481,1,1130,4110
582,482,1,1130,4110
582,483,1,1130,4110
582,484,1,1130,4110
582,485,1,1130,4110
582,486,1,1130,4110
582,487,1,1130,4110
582,488,1,1130,4110
582,489,1,1130,4110
582,490,1,1130,4110
582,491,1,1130,4110
582,492,1,1130,4110
582,493,1,1130,4110
582,494,1,1130,4110
582,495,1,1130,4110
582,496,1,1130,4110
582,497,1,1130,4110
582,498,1,1130,4110
582,499,1,1130,4110
582,500,1,1130,4110
582,501,1,1130,4110
582,502,1,1130,4110
582,503,1,1130,4110
582,504,1,1130,4110
582,505,1,1130,4110
582,506,1,1130,4110
582,507,1,1130,4110
582,508,1,1130,4110
582,509,1,1130,4110
582,510,1,1130,4110
582,511,1,1130,4110
582,512,1,1130,4110
582,513,1,1130,4110
582,514,1,1130,4110
582,515,1,1130,4110
582,516,1,1130,4110
582,517,1,1130,4110
582,518,1,1130,4110
